GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0021900005,1610612753,ORL,Orlando,202696,,C,,34.0,8,16,1,5,4,5,1,9,10,3,1,0,1,0,21,0
0021900005,1610612753,ORL,Orlando,203095,,G,,28.0,7,13,2,4,0,2,1,2,3,4,1,1,3,3,16,0
0021900005,1610612753,ORL,Orlando,201571,,G,,24.0,4,9,1,2,0,0,0,3,3,5,0,0,0,0,9,0
0021900005,1610612753,ORL,Orlando,1628365,,,,23.0,6,12,0,3,0,0,0,0,0,6,2,0,3,1,12,0
0021900005,1610612753,ORL,Orlando,202329,,,,29.0,1,5,1,2,2,4,2,5,7,0,1,0,1,2,5,0
0021900005,1610612753,ORL,Orlando,1628964,,,,13.0,3,5,1,3,0,0,1,6,7,1,1,0,0,1,7,0
0021900005,1610612753,ORL,Orlando,203082,,,,19.0,4,13,2,7,0,0,0,4,4,0,2,0,1,1,10,0
0021900005,1610612753,ORL,Orlando,203487,,,,14.0,1,2,0,1,0,0,1,1,2,0,1,0,1,2,2,0
0021900005,1610612753,ORL,Orlando,203920,,,DNP - Coach's Decision,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021900005,1610612753,ORL,Orlando,1628982,,,DNP - Coach's Decision,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021900005,1610612753,ORL,Orlando,1628411,,,DNP - Coach's Decision,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021900005,1610612739,CLE,Cleveland,1626224,,F,,28.0,5,9,3,6,0,0,0,3,3,2,2,0,2,1,13,0
0021900005,1610612739,CLE,Cleveland,201567,,F,,35.0,4,9,0,1,3,4,1,17,18,3,1,0,2,2,11,0
0021900005,1610612739,CLE,Cleveland,202684,,C,,33.0,8,11,0,0,0,0,2,9,11,1,0,1,1,2,16,0
0021900005,1610612739,CLE,Cleveland,1629636,,G,,31.0,3,9,2,4,0,0,1,1,2,5,1,0,3,0,8,0
0021900005,1610612739,CLE,Cleveland,1629012,,G,,29.0,5,15,3,8,3,4,1,1,2,2,0,0,3,1,16,0
0021900005,1610612739,CLE,Cleveland,1626204,,,,26.0,4,11,1,5,0,2,4,10,14,2,0,1,4,5,9,0
0021900005,1610612739,CLE,Cleveland,203521,,,,18.0,2,6,0,4,1,2,0,1,1,3,1,0,0,2,5,0
0021900005,1610612739,CLE,Cleveland,203903,,,,18.0,2,12,0,5,3,3,1,1,2,0,2,0,1,0,7,0
0021900005,1610612739,CLE,Cleveland,1629645,,,,17.0,0,6,0,1,0,0,0,1,1,2,1,0,0,2,0,0
0021900005,1610612739,CLE,Cleveland,1629076,,,DNP - Coach's Decision,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021900005,1610612739,CLE,Cleveland,202688,,,DNP - Coach's Decision,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021900005,1610612739,CLE,Cleveland,1629731,,,DNP - Coach's Decision,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021900006,1610612751,BKN,Brooklyn,203925,,F,,39.0,5,9,4,6,0,0,0,4,4,2,0,1,2,3,14,0
0021900006,1610612751,BKN,Brooklyn,1627752,,F,,41.0,6,13,2,5,1,2,3,8,11,2,2,1,0,2,15,0
0021900006,1610612751,BKN,Brooklyn,1628386,,C,,36.0,3,6,0,0,0,4,3,6,9,1,1,5,0,4,6,0
0021900006,1610612751,BKN,Brooklyn,1627747,,G,,37.0,9,19,1,4,1,4,0,5,5,4,3,0,5,3,20,0
0021900006,1610612751,BKN,Brooklyn,202681,,G,,38.0,17,33,7,14,9,10,2,6,8,7,0,1,0,4,50,0
0021900006,1610612751,BKN,Brooklyn,1628021,,,,13.0,0,0,0,0,1,2,0,3,3,0,0,1,1,2,1,0
0021900006,1610612751,BKN,Brooklyn,201599,,,,16.0,0,1,0,0,2,2,1,2,3,1,0,0,1,4,2,0
0021900006,1610612751,BKN,Brooklyn,202066,,,,17.0,2,6,0,2,0,0,0,0,0,0,2,0,1,2,4,0
0021900006,1610612751,BKN,Brooklyn,203915,,,,18.0,6,13,1,3,1,2,1,2,3,2,0,0,5,4,14,0
